lon_a,lat_a,lon_b,lat_b,usage_count
-0.184096,39.781944,1.164609,41.37436,257
-1.320079,41.834606,-1.030398,41.73174,254
-6.302123,38.315155,-5.730944,36.46,253
-3.332083,42.528862,-2.918956,42.70483,252
2.993694,42.251583,3.17689,42.26199,251
-4.518805,41.900192,-4.346335,42.017097,251
-4.942309,41.518215,-4.7786,41.132687,246
-0.755248,39.44505,-0.184096,39.781944,245
-3.028232,37.39342,-3.027246,37.393345,245
-2.001533,41.31289,-1.237256,41.540104,244
-3.333109,42.526173,-1.600613,42.012207,244
-4.597436,41.82064,-4.551042,41.85898,244
-4.18814,40.737324,-3.487595,39.35476,244
-6.186346,38.94719,-4.731859,39.98403,244
-0.754753,41.64069,1.579963,41.745747,242
-5.216187,42.41799,-3.331824,42.529476,238
-7.603278,41.988722,-5.520889,42.454889,238
-1.601074,42.01253,-0.756763,41.640594,235
-3.498747,38.410305,-3.487215,39.35399,234
1.86621,41.446106,2.409245,41.64421,234
-3.399121,39.180363,-2.994463,40.774384,233
2.509397,41.648064,2.773299,41.90677,232
-1.339556,40.772944,-0.321234,39.67629,232
-1.601074,42.01253,-1.600613,42.012207,230
-5.500389,37.270056,-4.056714,37.181763,230
1.883166,42.016693,1.886389,42.026085,229
-7.51422,42.52165,-7.275459,42.475483,227
-5.833083,39.526472,-5.303639,39.895111,226
1.19445,41.92241,1.252231,41.936184,226
1.82787,41.648155,1.842186,41.615833,225
1.84628,42.10429,1.886389,42.026085,225
-1.686601,41.993565,-1.644545,41.974228,225
-2.15723,39.20735,-2.067639,39.302389,225
0.71,40.81402,0.711547,40.812195,224
1.84628,42.10429,1.87878,41.97392,224
-6.296556,38.23025,-5.763761,36.45457,221
2.95341,41.827785,3.03333,41.78333,220
-3.54957,42.404915,-3.068028,42.651974,220
1.415153,41.177746,1.842186,41.615833,218
2.409245,41.64421,2.95341,41.827785,218
-0.41131,39.323788,-0.226643,39.03951,217
-3.674042,38.19465,-3.61535,38.27559,216
-0.59416,38.9721,-0.527742,39.15396,216
2.400474,41.592064,2.48333,41.56667,215
-3.02725,37.393278,-3.027246,37.393345,215
1.87878,41.97392,1.880085,41.96252,213
-3.334111,42.526028,-3.333109,42.526173,213
1.879304,41.899857,1.883166,42.016693,213
2.254843,41.558784,2.409245,41.64421,212
2.993694,42.251583,2.996561,42.25103,212
-0.126218,39.8983,-0.124249,39.8985,211
-0.745934,38.877857,-0.662682,38.929626,209
-4.346335,42.017097,-2.752763,42.513184,209
1.662544,41.321007,1.78519,41.42555,207
2.254843,41.558784,2.400474,41.592064,207
-3.009119,40.76181,-2.044228,41.840622,207
-1.601074,42.01253,-1.319388,41.83281,205
-4.614996,40.95703,-3.292031,40.172264,205
-4.614996,40.95703,-3.487215,39.35399,205
-0.786906,38.467503,-0.771114,38.475266,205
1.662544,41.321007,2.71888,41.69914,205
-2.772644,42.82372,-2.67268,42.84998,204
-3.54957,42.404915,-3.332083,42.528862,202
-4.378064,37.094475,-3.960243,37.18563,202
-8.64435,42.04713,-7.883468,42.31748,202
-1.287987,41.516342,-0.831585,41.76181,202
-2.98313,43.37891,-2.897381,43.190346,202
-8.72264,42.23282,-7.603278,41.988722,201
-8.64435,42.04713,-7.603278,41.988722,201
-3.751034,41.91578,-3.706975,42.2914,201
-8.72264,42.23282,-7.883468,42.31748,200
-3.194363,42.54852,-2.913164,42.741688,199
-4.282966,37.98478,-3.7232,38.14232,199
-6.414634,39.554325,-6.276139,39.882972,198
-8.58535,43.25375,-7.45764,42.964878,198
-8.25796,43.35619,-7.45764,42.964878,197
-8.64435,42.431,-7.603278,41.988722,197
0.71,40.81402,0.924508,40.98877,197
-3.292031,40.172264,-2.812996,39.921238,197
-2.160999,42.891235,-2.03687,42.916824,197
-8.409,43.07654,-7.45764,42.964878,196
-8.409,43.07654,-7.454562,42.96586,196
1.163606,41.377373,1.166581,41.374886,196
-2.03989,39.13535,-1.313417,37.912167,195
-7.6813,43.29806,-7.454562,42.96586,194
-5.216187,42.41799,-2.752763,42.513184,194
-0.778572,38.49028,-0.184096,39.781944,194
-2.002211,41.31299,-2.001533,41.31289,194
-8.64435,42.431,-7.883468,42.31748,194
-8.25796,43.35619,-7.454562,42.96586,194
-7.883468,42.31748,-5.665556,42.235,194
-1.757928,38.937634,-0.754167,38.878611,193
-7.85178,43.45266,-7.45764,42.964878,193
-2.752763,42.513184,-1.030398,41.73174,192
-1.030398,41.73174,1.455794,41.31738,191
-8.58535,43.25375,-7.454562,42.96586,190
-6.41452,43.33765,-5.767766,42.690834,190
-2.913518,42.74313,-2.897381,43.190346,190
-2.913518,42.74313,-2.68333,43.31667,189
-4.510273,41.91378,-4.280605,42.03616,189
-2.812996,39.921238,-2.805598,39.91926,187
-3.498747,38.410305,-3.487595,39.35476,187
-0.775495,38.485264,-0.772131,38.48092,185
-6.423124,37.34687,-6.302123,38.315155,185
-6.423124,37.34687,-4.282966,37.98478,183
-7.85178,43.45266,-7.454562,42.96586,183
-3.95776,37.76748,-3.918278,37.751722,178
-7.51422,42.52165,-7.072508,42.40799,178
2.466856,42.153248,2.49012,42.18096,178
-6.53333,40.6,-6.387456,40.711796,177
1.63751,41.57165,1.641017,41.578785,177
-0.756763,41.640594,0.91401,41.630672,177
-1.964591,41.305973,-1.237256,41.540104,177
-4.327099,37.066895,-3.958857,37.18492,177
-3.791627,37.940243,-3.777263,37.19138,176
1.873758,41.861305,1.879304,41.899857,176
-2.576845,39.864933,-2.280002,39.59617,175
-5.832583,39.565056,-5.303639,39.895111,174
-4.15129,37.16887,-3.958857,37.18492,174
-5.49975,37.26925,-4.39623,37.092716,174
-2.404372,41.189228,-2.002776,41.313244,173
-2.002776,41.313244,-2.001533,41.31289,173
-2.772644,42.82372,-2.160999,42.891235,171
-4.941909,41.51875,-4.72353,41.65541,171
-4.329278,43.333972,-3.068215,43.328472,170
-2.03687,42.916824,-1.744144,42.862675,169
-3.472141,38.63538,-3.399121,39.180363,169
-0.13333,41.05,-0.06765,41.24909,168
-1.339611,37.892778,-0.754148,38.87854,168
-0.586654,39.13945,-0.529238,39.154736,167
-4.518805,41.900192,-2.918956,42.70483,166
-0.529238,39.154736,-0.184096,39.781944,165
-3.958642,37.184185,-3.32401,37.31801,164
-6.75432,37.57511,-6.423124,37.34687,164
-5.216187,42.41799,-3.332083,42.528862,164
0.924508,40.98877,1.874583,41.700462,163
-2.25491,39.538704,-0.184096,39.781944,162
2.996561,42.25103,3.17689,42.26199,162
-4.731859,39.98403,-4.136094,40.184185,160
-8.07899,42.43163,-7.883468,42.31748,159
-3.472141,38.63538,-1.757611,38.938611,159
-5.545129,41.939377,-5.323326,41.785076,159
-3.751034,41.91578,-3.696811,41.59416,157
-2.280002,39.59617,-2.03989,39.13535,157
-5.26667,38.3,-4.900421,38.129105,157
-1.030398,41.73174,-0.754753,41.64069,156
-1.031231,41.730312,1.526958,41.73323,156
-1.177322,41.83625,-1.13716,42.12632,155
-8.07899,42.43163,-7.603278,41.988722,155
-7.59344,43.66228,-7.45764,42.964878,155
-7.86407,42.33669,-7.603278,41.988722,154
-1.320079,41.834606,-1.144528,40.471639,154
-1.58289,37.4063,-1.360389,37.885556,154
-3.605657,36.987034,-3.605287,36.987,154
0.711547,40.812195,1.892448,41.453182,153
-3.7232,38.14232,-3.63602,38.09519,153
-5.657723,40.894054,-4.829591,41.591373,153
-7.59344,43.66228,-7.454562,42.96586,153
-4.52406,42.00955,-4.513697,41.948715,153
-3.673307,38.196457,-3.63602,38.09519,152
-4.05077,38.03922,-3.723177,38.142353,152
-3.028232,37.39342,-3.02725,37.393278,152
-6.41452,43.33765,-5.770646,42.69129,152
-2.996531,43.372726,-2.98313,43.37891,152
-3.333109,42.526173,-2.94695,42.6865,152
-4.05077,38.03922,-3.673307,38.196457,152
-2.96204,43.14322,-2.94057,43.1494,152
-3.706975,42.2914,-3.54957,42.404915,151
-5.57427,42.53897,-5.55835,42.64685,151
-2.576845,39.864933,-2.038425,39.134872,151
-8.548,42.795,-7.603278,41.988722,151
-1.631,42.0364,-1.60452,42.06166,151
-2.092501,43.293633,-1.90234,43.31195,151
-8.11285,42.66085,-7.603278,41.988722,151
-4.510273,41.91378,-3.740319,42.3005,151
-8.11285,42.66085,-7.883468,42.31748,150
-4.518805,41.900192,-4.513697,41.948715,150
-5.770646,42.69129,-5.68416,43.29568,150
-8.82797,42.564,-7.603278,41.988722,149
-0.756763,41.640594,1.163606,41.377373,149
-8.82797,42.564,-7.883468,42.31748,148
-2.994463,40.774384,-1.644545,41.974228,148
-4.397368,40.772217,-4.18814,40.737324,148
-2.535529,43.01694,-2.4175,43.1151,148
-8.548,42.795,-7.883468,42.31748,148
-8.80925,43.03306,-7.603278,41.988722,148
-7.6813,43.29806,-7.45764,42.964878,147
-7.41431,42.78148,-5.713278,42.087806,146
-7.41431,42.78148,-5.715528,42.089278,146
-4.77275,37.89155,-3.7232,38.14232,146
-8.80925,43.03306,-7.883468,42.31748,146
-7.55602,43.00992,-5.715528,42.089278,146
-7.55602,43.00992,-5.713278,42.087806,145
-3.723177,38.142353,-3.61226,37.78627,145
-5.665556,42.235,-3.331824,42.529476,145
-2.14949,37.38856,-1.313417,37.912167,145
-3.918278,37.751722,-3.723177,38.142353,144
-2.94057,43.1494,-2.918956,42.70483,144
-4.77275,37.89155,-4.164194,38.029778,144
-6.55,43.18333,-5.61715,42.42043,143
-0.709137,39.392593,-0.705587,39.392494,143
-6.99005,42.41642,-5.715528,42.089278,143
-1.618889,42.79972,-1.60735,42.8323,143
-3.068215,43.328472,-2.752763,42.513184,142
-1.433389,39.528806,-1.2,39.56667,142
-1.177322,41.83625,-1.031231,41.730312,142
-3.70457,41.573154,-2.805598,39.91926,142
-4.136094,40.184185,-2.002211,41.31299,141
-1.686601,41.993565,-1.676131,41.99307,141
-1.634673,42.776344,-1.618889,42.79972,141
