object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
2132,16,A-3,114.6,124,26186,4897,21289,289,19888,40,1072,0,600,3776,241,16,264,113.7,120.9,92.1,50.6606583670664,49.3393416329336,2022,9424.945200284967
2133,10,N-110,358.699,368.4,1496,93,1403,23,1239,13,128,0,37,41,3,0,12,,,,,,2022,9635.368959610261
2134,5,N-110,341,343,3066,209,2857,91,2443,31,291,1,128,36,2,2,41,,,,,,2022,1995.4964522553848
2135,9,AP-1,7.4,36.8,30854,9016,21838,146,19776,88,1828,0,3566,4793,146,17,494,114.3,123.3,94.4,50.5218124068192,49.4781875931808,2022,29392.62562580026
2136,10,N-5,204.4,209.3,92,7,85,1,74,0,10,0,3,2,0,0,2,,,,,,2022,4855.660043518055
2137,46,AP-7N,531.8,534.4,58618,5107,53511,150,48620,326,4415,0,2225,2642,189,10,41,115.3,117.2,96.1,49.88058275615,50.11941724385,2022,2498.8653563087946
2138,13,A-43,4,9.1,13951,1491,12460,61,11534,24,841,0,533,872,52,3,31,,,,67.2711633574654,32.7288366425346,2022,5049.147938494189
2139,11,A-4,631.2,632.3,31014,1935,29079,367,26952,130,1630,0,676,1064,46,6,143,105.3,106.2,91.3,48.9230670019991,51.0769329980009,2022,1091.2365447804711
2140,6,N-630,677.5,681.5,826,60,766,49,665,2,50,0,36,14,1,0,9,,,,,,2022,3973.032862994435
2141,25,AP-2,140,160.4,19306,6166,13140,21,11334,81,1704,0,582,5222,297,25,40,111,119.9,92.6,49.647777892883,50.352222107117,2022,20435.510807524526
2142,10,A-66,563.9,575.1,12937,2570,10367,118,9707,104,438,0,516,1911,48,13,82,116.8,123.2,92.5,51.1478704490995,48.8521295509005,2022,11251.803153815124
