lat,lon,name,is_city,is_feasible_location,is_existing_charger,n_chargers,mean_power_kw,x_built,c_built,p_built_kw,wq_minutes,lambda_k,gamma,fixed_cost
38.17902,-0.87059,Albatera,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.99424,-1.85643,Albacete,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.4063,-1.58289,Águilas,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.28444,-2.16992,Zarautz,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.65606,-0.87734,Zaragoza,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.50633,-5.74456,Zamora,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.66228,-7.59344,Viveiro,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.84998,-2.67268,Gasteiz / Vitoria,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.47033,0.47559,Vinaròs,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.3581,-3.9043,Villaviciosa de Odón,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.48126,-5.43574,Villaviciosa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.64685,-5.55835,Villaquilambre,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.22392,1.72511,Vilanova i la Geltrú,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.564,-8.82797,Vilanova de Arousa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.29806,-7.6813,Vilalba,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.8323,-1.60735,Atarrabia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.11118,1.14764,Vila-seca,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.06174,2.25528,Vilaseca,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.57165,1.63751,Vilanova del Camí,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.31405,2.01427,Viladecans,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.23282,-8.72264,Vigo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.4,-3.6,Vicálvaro,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.94149,-7.43809,Verín,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.1151,-2.4175,Bergara,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.28612,1.24993,Valls,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.65541,-4.72353,Valladolid,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.19081,-3.67887,Valdemoro,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.50064,-4.0671,Valdemorillo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.04713,-8.64435,Tui,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.06166,-1.60452,Tudela,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.81249,0.5216,Tortosa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.04254,3.12703,Torroella de Montgrí,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.34943,-4.04785,Torrelavega,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.14505,1.39861,Torredembarra,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.69914,2.71888,Tordera,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.33765,-6.41452,Tineo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.3456,-1.10646,Teruel,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.795,-8.548,Teo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.64704,1.13957,Tàrrega,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.56667,2.01667,Terrassa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.90475,-1.72678,Tarazona,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.00851,-3.00731,Tarancón,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.52687,-1.67446,Tafalla,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
