gamma,fixed_cost,tag,results_csv,cuts_json,n_stations,n_chargers,avg_chargers_per_station,total_kw,total_wq_min,total_w_min,total_open_cost,objective_ub,objective_lb,gap_pct,n_cuts,power_dist,charger_dist
0.2,250.0,sweep2d_g0_2_f250,congestion/outputs/results_congestion_sweep2d_g0_2_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_2_f250.json,19,38,2.0,9400,281.4326,491.6726,4750.0,17720649.83276424,17712583.13073073,0.04552147979696279,230316,"{""100"": 1, ""200"": 6, ""250"": 8, ""350"": 4}","{""1"": 6, ""2"": 9, ""3"": 2, ""4"": 2}"
0.25,250.0,sweep2d_g0_25_f250,congestion/outputs/results_congestion_sweep2d_g0_25_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_25_f250.json,19,35,1.8421052631578947,8850,289.36400000000003,509.32400000000007,4750.0,17721989.163212225,17713030.90907873,0.0505488071964981,230659,"{""100"": 2, ""200"": 5, ""250"": 7, ""350"": 5}","{""1"": 7, ""2"": 10, ""4"": 2}"
0.3,250.0,sweep2d_g0_3_f250,congestion/outputs/results_congestion_sweep2d_g0_3_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_3_f250.json,19,37,1.9473684210526316,8650,322.3774,563.6973999999999,4750.0,17722426.03652622,17713467.78239273,0.050547561124135,230659,"{""100"": 2, ""150"": 2, ""200"": 7, ""250"": 4, ""350"": 4}","{""1"": 6, ""2"": 10, ""3"": 1, ""4"": 2}"
0.35,250.0,sweep2d_g0_35_f250,congestion/outputs/results_congestion_sweep2d_g0_35_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_35_f250.json,19,38,2.0,8350,338.3575,595.9975,4750.0,17722785.86405322,17713894.398407727,0.05016968389561408,308543,"{""100"": 2, ""150"": 4, ""200"": 7, ""250"": 3, ""350"": 3}","{""1"": 6, ""2"": 9, ""3"": 2, ""4"": 2}"
0.4,250.0,sweep2d_g0_4_f250,congestion/outputs/results_congestion_sweep2d_g0_4_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_4_f250.json,19,43,2.263157894736842,8300,346.81340000000006,614.0533999999999,4750.0,17723201.41995022,17714314.087116733,0.050145188913124146,230665,"{""100"": 2, ""150"": 5, ""200"": 7, ""250"": 3, ""350"": 2}","{""1"": 6, ""2"": 9, ""3"": 2, ""4"": 1, ""9"": 1}"
0.45,250.0,sweep2d_g0_45_f250,congestion/outputs/results_congestion_sweep2d_g0_45_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_45_f250.json,16,26,1.625,5650,305.5168,519.8368,4000.0,17726210.097720228,17713233.843420062,0.0732037713004135,308695,"{""100"": 2, ""150"": 2, ""200"": 6, ""250"": 4, ""350"": 2}","{""1"": 7, ""2"": 8, ""3"": 1}"
0.5,250.0,sweep2d_g0_5_f250,congestion/outputs/results_congestion_sweep2d_g0_5_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_5_f250.json,16,27,1.6875,5550,347.36199999999997,567.082,4000.0,17726489.84291923,17713513.58861906,0.0732026160574196,308695,"{""100"": 2, ""150"": 2, ""200"": 7, ""250"": 4, ""350"": 1}","{""1"": 7, ""2"": 7, ""3"": 2}"
0.55,250.0,sweep2d_g0_55_f250,congestion/outputs/results_congestion_sweep2d_g0_55_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_55_f250.json,16,25,1.5625,4900,372.07860000000005,604.3986,4000.0,17726032.09958426,17713763.845984064,0.069210376757034,307914,"{""100"": 3, ""150"": 2, ""200"": 6, ""250"": 4, ""350"": 1}","{""1"": 9, ""2"": 5, ""3"": 2}"
0.6,250.0,sweep2d_g0_6_f250,congestion/outputs/results_congestion_sweep2d_g0_6_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_6_f250.json,15,25,1.6666666666666667,4650,358.03150000000005,609.6714999999999,3750.0,17729882.68587427,17714007.68237406,0.08953811923897372,310107,"{""50"": 1, ""100"": 2, ""150"": 3, ""200"": 5, ""250"": 3, ""350"": 1}","{""1"": 8, ""2"": 4, ""3"": 3}"
0.65,250.0,sweep2d_g0_65_f250,congestion/outputs/results_congestion_sweep2d_g0_65_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_65_f250.json,15,23,1.5333333333333334,4500,438.7175,703.4375,3750.0,17730111.451885268,17714236.44838506,0.0895369639569877,310107,"{""50"": 2, ""100"": 1, ""150"": 2, ""200"": 4, ""250"": 4, ""350"": 2}","{""1"": 10, ""2"": 2, ""3"": 3}"
