lat,lon,name,aadt_assigned,impute_tier,edge_dist_m,highway_class,through_gap_km,stop_rate,usage_count,lambda_k
43.284944,-2.328222,AVIA,12352.195537105414,3,34.45018466665042,motorway_link,31.701,0.09962198353047236,0,7.998576432357485
43.284528,-2.329861,AVIA,12352.195537105414,3,31.520766980422223,motorway_link,32.2408,0.10060687728604258,0,8.077652833995987
43.326944,-1.870444,GALP,1406.0161505206777,3,405.6677046359745,secondary,0.0158,0.05789329017953572,0,0.5290928564948479
43.026472,-2.219917,BP OLABERRIA,1332.761630278148,3,69.3793100931301,secondary,4.559,0.062237250522796786,0,0.5391582265601491
43.087111,-2.312889,GALP,1332.761630278148,3,91.09156138164856,secondary,0.8992,0.058703084310075135,0,0.5085419192584336
43.284833,-2.029083,MOEVE,10403.832732162296,3,167.2448926222969,motorway,11.6882,0.07001975880946892,0,4.7350800809004046
43.286611,-2.031889,MOEVE,10403.832732162296,3,117.2332105020638,motorway_link,10.9654,0.06917295933770763,133,4.6778153404981335
42.547639,-2.578806,REPSOL,3517.3278515429083,3,2214.345642797751,primary,0.3834,0.05822827464672771,0,1.3312515590544638
43.277417,-2.073278,PETRONOR,3400.2222264358443,3,663.3158122094259,trunk,12.8014,0.07135081904505329,0,1.576956165144049
43.271361,-2.070472,REPSOL,3400.2222264358443,3,354.47616831902417,trunk,10.6514,0.0688093149705617,0,1.5207852539667357
43.034694,-2.332194,CEPSA,1332.761630278148,3,1422.9934041840106,secondary,3.1348,0.06082687026948108,0,0.5269401721029617
43.294833,-2.258083,CEPSA,7124.0152448851895,3,440.48776333953947,trunk,10.832,0.06901815754582616,0,3.195961642447297
42.878556,-2.518167,REPSOL,10403.832732162296,3,74.21418798024452,motorway,16.2256,0.07565652767277717,102,5.1162660835245815
42.966111,-2.870083,PETRONOR,10403.832732162296,3,38.05739042703878,motorway_link,0.0246,0.057901276509733576,14,3.91556877260865
42.966472,-2.873583,REPSOL,10403.832732162296,3,28.958923541972542,motorway_link,0.003,0.05788167657121701,0,3.9142433284763842
42.743111,-2.913306,PETRONOR,16632.057018760803,3,249.15338734360938,motorway_link,0.021,0.05789800918017224,0,6.259259434722847
42.741361,-2.913222,PETRONOR,10822.037703028622,3,237.54772344437413,motorway_link,0.0566,0.057930331277544364,395,4.075007490024402
42.670222,-2.357278,PETRONOR,7681.067734867883,3,3.3376358417319105,primary,1.831,0.05957514556802944,0,2.9744047347472145
42.961583,-2.827722,CEPSA,10403.832732162296,3,44.157727225037746,motorway,6.9096,0.06466682565125972,0,4.373088443071455
43.178611,-2.055778,REPSOL,10403.832732162296,3,59.79059490235183,motorway_link,0.3414,0.0581898583848765,0,3.935084096739035
43.312222,-1.879444,REPSOL,3277.799883852915,3,52.55101504187659,primary_link,0.0614,0.05793469132884098,0,1.2343391093067415
43.312139,-1.879528,REPSOL,3277.799883852915,3,41.92566376290031,primary_link,0.0838,0.05795504457077863,0,1.2347727493581266
43.078861,-2.156194,REPSOL,10403.832732162296,3,520.1090206526834,motorway,0.003,0.05788167657121701,0,3.9142433284763842
43.316611,-1.852222,MOEVE,10867.365110024972,3,95.3203839686233,motorway,8.9032,0.06683065707103412,0,4.7207754810697
43.317611,-1.844528,MOEVE,1084.0407231127142,3,9.776604386747664,motorway_link,4.1948,0.06187223661868135,0,0.43596815681065587
