lat,lon,c,p_kw,wq_minutes
39.829778,-4.71575,6,150,0.0
39.829778,-4.71575,7,150,0.0
42.922111,-2.0145,2,150,2.515805
42.922111,-2.0145,3,150,0.294746
42.922111,-2.0145,4,150,0.03435
42.922111,-2.0145,5,150,0.00364
42.922111,-2.0145,6,150,0.000345
42.922111,-2.0145,7,150,2.9e-05
42.350056,-1.371222,2,150,1.576154
42.350056,-1.371222,3,150,0.160994
42.350056,-1.371222,4,150,0.015738
42.350056,-1.371222,5,150,0.001379
42.350056,-1.371222,6,150,0.000107
42.350056,-1.371222,7,150,7e-06
40.699617,-1.347402,2,150,0.013994
40.699617,-1.347402,3,150,0.000176
40.699617,-1.347402,4,150,2e-06
40.699617,-1.347402,5,150,0.0
40.699617,-1.347402,6,150,0.0
40.699617,-1.347402,7,150,0.0
40.61525,-1.344639,2,150,0.018271
40.61525,-1.344639,3,150,0.000262
40.61525,-1.344639,4,150,3e-06
40.61525,-1.344639,5,150,0.0
40.61525,-1.344639,6,150,0.0
40.61525,-1.344639,7,150,0.0
40.812361,-1.482972,2,150,0.093654
40.812361,-1.482972,3,150,0.00294
40.812361,-1.482972,4,150,8e-05
40.812361,-1.482972,5,150,2e-06
40.812361,-1.482972,6,150,0.0
40.812361,-1.482972,7,150,0.0
40.588172,-0.987763,2,150,1.107735
40.588172,-0.987763,3,150,0.100306
40.588172,-0.987763,4,150,0.008497
40.588172,-0.987763,5,150,0.000639
40.588172,-0.987763,6,150,4.3e-05
40.588172,-0.987763,7,150,3e-06
39.281778,-1.719778,2,150,0.007109
39.281778,-1.719778,3,150,6.4e-05
39.281778,-1.719778,4,150,0.0
39.281778,-1.719778,5,150,0.0
39.281778,-1.719778,6,150,0.0
39.281778,-1.719778,7,150,0.0
40.8922,-1.461152,2,150,0.002499
40.8922,-1.461152,3,150,1.3e-05
40.8922,-1.461152,4,150,0.0
40.8922,-1.461152,5,150,0.0
40.8922,-1.461152,6,150,0.0
40.8922,-1.461152,7,150,0.0
41.060639,-1.235667,2,150,9.712583
41.060639,-1.235667,3,150,1.353096
41.060639,-1.235667,4,150,0.229476
41.060639,-1.235667,5,150,0.037745
41.060639,-1.235667,6,150,0.005723
41.060639,-1.235667,7,150,0.00079
40.683278,-1.098417,2,150,0.056661
40.683278,-1.098417,3,150,0.001402
40.683278,-1.098417,4,150,3e-05
40.683278,-1.098417,5,150,1e-06
40.683278,-1.098417,6,150,0.0
40.683278,-1.098417,7,150,0.0
39.131015,-4.947033,2,150,0.040268
39.131015,-4.947033,3,150,0.000846
39.131015,-4.947033,4,150,1.5e-05
39.131015,-4.947033,5,150,0.0
39.131015,-4.947033,6,150,0.0
39.131015,-4.947033,7,150,0.0
36.9067,-4.337866,2,150,60.65572
36.9067,-4.337866,3,150,4.670247
36.9067,-4.337866,4,150,0.921684
36.9067,-4.337866,5,150,0.197707
36.9067,-4.337866,6,150,0.040936
36.9067,-4.337866,7,150,0.007904
40.636194,-1.001639,2,150,0.017211
40.636194,-1.001639,3,150,0.000239
40.636194,-1.001639,4,150,3e-06
40.636194,-1.001639,5,150,0.0
40.636194,-1.001639,6,150,0.0
40.636194,-1.001639,7,150,0.0
37.19375,-3.776917,2,150,2.832686
37.19375,-3.776917,3,150,0.341924
37.19375,-3.776917,4,150,0.041538
37.19375,-3.776917,5,150,0.004608
37.19375,-3.776917,6,150,0.000458
37.19375,-3.776917,7,150,4.1e-05
40.701472,-0.80425,2,150,0.121148
40.701472,-0.80425,3,150,0.004289
40.701472,-0.80425,4,150,0.000132
40.701472,-0.80425,5,150,4e-06
40.701472,-0.80425,6,150,0.0
40.701472,-0.80425,7,150,0.0
43.170556,-2.597556,2,150,1.577907
43.170556,-2.597556,3,150,0.161231
43.170556,-2.597556,4,150,0.015768
43.170556,-2.597556,5,150,0.001382
43.170556,-2.597556,6,150,0.000108
43.170556,-2.597556,7,150,7e-06
43.281972,-1.916778,2,150,0.025673
43.281972,-1.916778,3,150,0.000434
43.281972,-1.916778,4,150,6e-06
43.281972,-1.916778,5,150,0.0
43.281972,-1.916778,6,150,0.0
43.281972,-1.916778,7,150,0.0
43.185778,-2.671556,2,150,0.288092
43.185778,-2.671556,3,150,0.015108
43.185778,-2.671556,4,150,0.000702
43.185778,-2.671556,5,150,2.8e-05
43.185778,-2.671556,6,150,1e-06
43.185778,-2.671556,7,150,0.0
43.123361,-3.122528,2,150,1.085162
43.123361,-3.122528,3,150,0.097537
43.123361,-3.122528,4,150,0.008191
43.123361,-3.122528,5,150,0.000611
43.123361,-3.122528,6,150,4e-05
43.123361,-3.122528,7,150,2e-06
43.015361,-2.1765,2,150,0.119503
43.015361,-2.1765,3,150,0.004204
43.015361,-2.1765,4,150,0.000129
43.015361,-2.1765,5,150,3e-06
43.015361,-2.1765,6,150,0.0
43.015361,-2.1765,7,150,0.0
43.241444,-2.259444,2,150,0.622288
43.241444,-2.259444,3,150,0.045202
43.241444,-2.259444,4,150,0.002985
43.241444,-2.259444,5,150,0.000173
43.241444,-2.259444,6,150,9e-06
43.241444,-2.259444,7,150,0.0
42.8635,-2.320361,2,150,2.261085
42.8635,-2.320361,3,150,0.257412
42.8635,-2.320361,4,150,0.028866
42.8635,-2.320361,5,150,0.002933
