lat,lon,n_chargers,mean_power_kw,aadt_assigned,highway_class,stop_rate,lambda_k
43.52705,-7.03194,1,7.4,3182.1433095053,trunk_link,0.05,0.5170982877946113
43.092266,-6.256732,1,7.4,587.3808423285027,secondary,0.05,0.0954493868783817
43.57101,-5.959551,1,50.0,9869.0,primary,0.05,1.6037125000000003
43.383156,-3.738137,1,50.0,6391.999999999999,trunk,0.05,1.0387
43.386456,-3.732087,1,7.4,6392.0,trunk,0.05,1.0387000000000002
43.271202,-6.61201,1,7.4,145.95894396258737,secondary,0.05,0.02371832839392045
43.284668,-6.21768,1,7.4,587.3808423285027,secondary,0.05,0.0954493868783817
43.360607,-7.109789,1,7.4,326.390603333424,secondary,0.05,0.053038473041681404
43.374928,-4.500594,1,43.0,7967.603888758457,motorway_link,0.05,1.2947356319232497
43.380356,-4.554662,1,7.4,4527.969393635412,motorway_link,0.05,0.7357950264657546
42.155724,-5.6415,1,43.0,4138.392258766781,motorway_link,0.05,0.6724887420496021
41.29698,-3.750888,1,7.4,881.4685554256506,secondary_link,0.05,0.14323864025666824
38.82633,0.02096,1,22.0,2700.6377552407625,secondary,0.05,0.43885363522662396
38.128506,-0.759072,2,36.0,4781.836265260067,secondary,0.05,0.7770483931047609
40.446507,-3.36204,2,22.0,16769.081269202536,secondary,0.05,2.7249757062454125
40.16949,-3.279598,2,14.7,13204.816355621257,primary,0.05,2.145782657788455
40.08609,-3.870298,4,14.7,4720.867234019413,secondary,0.05,0.7671409255281548
43.583237,-5.77486,1,22.0,12799.78467914368,primary,0.05,2.0799650103608482
39.95763,-3.496912,1,22.0,3485.9999999999995,primary,0.05,0.566475
39.811226,-4.057859,2,22.0,5276.036868865385,secondary,0.05,0.8573559911906252
39.755085,-3.16098,1,7.4,3969.0,trunk,0.05,0.6449625000000001
39.58151,-3.861525,1,22.0,648.4109954049865,secondary,0.05,0.10536678675331031
40.32256,-4.197662,2,22.0,12164.843201436,primary,0.05,1.9767870202333502
40.662827,-3.196825,2,14.7,5322.458903178445,secondary,0.05,0.8648995717664975
40.005474,-3.57628,1,22.0,4445.360559014655,secondary,0.05,0.7223710908398816
40.228836,-3.986935,1,22.0,9914.19224982182,primary,0.05,1.6110562405960458
40.340935,-3.377003,1,22.0,9533.811577752556,primary,0.05,1.5492443813847907
39.53005,-3.076138,1,22.0,485.582424753256,secondary,0.05,0.07890714402240412
39.942818,-3.922025,2,22.0,1405.4660539982056,secondary,0.05,0.2283882337747084
40.40923,-3.364768,1,22.0,19041.102150683815,secondary_link,0.05,3.0941790994861207
43.280827,-5.622072,1,22.0,5709.20111923554,primary,0.05,0.9277451818757755
38.817425,0.0200943,2,100.0,28035.0,motorway,0.05,4.5556875
38.537148,-0.1784732,2,22.0,5376.979580739008,secondary,0.05,0.8737591818700889
38.944252,-0.1342492,2,63.5,2837.886837597542,secondary,0.05,0.4611566111096007
39.57606,-0.5147624,1,22.0,121192.6037820417,motorway_link,0.05,19.693798114581778
38.971004,-0.1539121,1,120.0,1909.3850295005304,secondary,0.05,0.31027506729383625
39.647507,-0.4292653,1,120.0,8815.143968025232,secondary,0.05,1.4324608948041002
39.06725,-0.558851,1,120.0,63430.93478539261,motorway_link,0.05,10.3075269026263
39.07142,-0.4869963,1,120.0,18943.156956946383,primary,0.05,3.0782630055037874
39.356606,-0.5976413,3,12.0,8626.24693439191,secondary,0.05,1.4017651268386855
39.36622,-0.4392179,1,22.0,26210.0,trunk,0.05,4.259125
39.551704,-0.4821315,1,120.0,121192.6037820417,motorway_link,0.05,19.693798114581778
39.680145,-0.2072014,3,44.666666666666664,5109.540988063841,secondary,0.05,0.8303004105603743
38.951046,-0.1441463,1,120.0,2837.886837597542,secondary,0.05,0.4611566111096007
39.542778,-0.3868845,2,18.5,13039.610212349438,secondary,0.05,2.118936659506784
39.27756,-0.5710578,1,22.0,10815.75333750238,secondary,0.05,1.757559917344137
39.294865,-0.4154916,2,18.5,19658.891032917138,primary,0.05,3.1945697928490353
39.42597,-0.3810352,2,18.5,126138.0,motorway,0.05,20.497425000000003
38.5383,-0.1819151,2,41.0,41360.0,motorway,0.05,6.721000000000001
43.413387,-5.4134665,1,22.0,1141.6947714728517,secondary,0.05,0.18552540036433843
43.39449,-5.4029245,1,22.0,1141.6947714728517,secondary,0.05,0.18552540036433843
43.56062,-5.7661834,1,60.0,11406.219227621888,primary,0.05,1.8535106244885569
43.349968,-5.1134057,1,7.0,2323.107805612016,primary,0.05,0.3775050184119526
38.851574,0.005802,4,22.0,2622.4934881318145,secondary,0.05,0.42615519182142
41.542202,-4.897237,8,41.25,45458.37934603974,motorway_link,0.05,7.386986643731459
42.061142,-6.642669,8,53.0,1292.3339464153662,trunk_link,0.05,0.21000426629249702
43.374832,-4.500147,4,270.0,7967.603888758457,motorway_link,0.05,1.2947356319232497
41.617115,1.39949,6,40.666666666666664,3203.7621468772945,secondary,0.05,0.5206113488675604
39.13535,-2.03989,10,212.4,28074.60306703946,motorway_link,0.05,4.562122998393913
41.859493,-5.416823,2,130.0,6360.31536573133,primary,0.05,1.0335512469313413
39.553684,-1.902913,3,134.0,2115.569147110841,primary,0.05,0.3437799864055117
38.84465,-6.6214876,4,65.0,15932.106428617164,motorway_link,0.05,2.5889672946502897
40.75308,0.606343,10,69.0,16185.0,primary,0.05,2.6300625
42.03616,-4.280605,9,215.88888888888889,14992.159146692848,motorway_link,0.05,2.4362258613375882
39.52892,-1.433511,6,40.666666666666664,10518.821206753037,motorway_link,0.05,1.7093084460973687
43.561832,-6.922828,2,150.0,2172.0,trunk,0.05,0.3529500000000001
39.256268,-1.912183,2,100.0,3275.8050048834566,primary,0.05,0.5323183132935618
42.71779,-4.291774,6,40.666666666666664,2681.0,trunk,0.05,0.43566250000000006
43.10722,-7.605561,10,69.0,10881.201897423858,motorway_link,0.05,1.7681953083313773
41.82612,-5.378892,10,100.6,21030.246889206664,motorway_link,0.05,3.417415119496083
41.85898,-4.551042,4,360.0,37126.48624421061,motorway_link,0.05,6.033054014684225
39.516518,-1.753888,4,195.0,20995.0,motorway,0.05,3.4116875
41.623463,-3.687533,19,136.42105263157896,8705.247796299062,motorway_link,0.05,1.4146027668985977
42.800457,-1.6115102,4,360.0,1090.9591168121572,motorway,0.05,0.17728085648197556
40.965427,-4.097522,4,100.0,3890.958266178729,trunk,0.05,0.6322807182540435
41.29213,-4.3002553,4,300.0,3953.0270206817063,motorway_link,0.05,0.6423668908607775
39.79144,-5.6963925,8,300.0,1476.4184379681071,trunk_link,0.05,0.23991799616981743
41.90578,2.771696,1,22.0,27032.072706123407,motorway_link,0.05,4.392711814745055
42.405586,2.874348,1,22.0,37784.0,motorway,0.05,6.139900000000001
42.326942,-8.028995,1,22.0,3355.0,trunk,0.05,0.5451875
43.434216,-8.245223,1,22.0,4969.65752099964,trunk,0.05,0.8075693471624416
41.862587,-8.106146,1,22.0,1276.5906631501673,secondary,0.05,0.20744598276190218
42.164356,-8.63136,2,7.0,7281.902716223933,secondary,0.05,1.1833091913863893
42.866634,-8.67721,1,25.0,22923.739675154204,motorway,0.05,3.725107697212559
42.953663,-6.149248,1,50.0,2527.012934561677,primary,0.05,0.4106396018662726
43.586216,-7.2903533,1,22.0,9660.0,trunk,0.05,1.56975
42.260162,-8.153301,1,22.0,1368.273236016155,primary,0.05,0.2223444008526252
42.93785,-6.322756,1,50.0,3376.190164453713,primary,0.05,0.5486309017237284
42.863274,-8.676272,1,25.0,20595.342347341684,motorway_link,0.05,3.3467431314430236
42.08793,-8.506638,2,101.0,9607.835836654964,primary_link,0.05,1.5612733234564318
43.646248,-7.349536,1,18.0,7436.0,trunk,0.05,1.2083500000000003
43.113277,-9.034666,1,22.0,10188.559353799856,primary,0.05,1.6556408949924766
43.371025,-2.995147,4,87.5,1611.752249925229,secondary,0.05,0.2619097406128498
38.716415,0.140677,4,68.0,1078.8309633214606,secondary,0.05,0.17531003153973737
